cdn,city,tour,run,lcp_ms,speed_index_ms,ttfb_ms
Amazon CloudFront,Cape Town,A,1,4738.0,5723.0,829
Amazon CloudFront,Cape Town,A,2,2291.0,3107.0,202
Amazon CloudFront,Cape Town,A,3,2568.0,3777.0,202
Amazon CloudFront,Cape Town,A,4,2478.0,3486.0,201
Amazon CloudFront,Cape Town,A,5,,3265.0,200
Amazon CloudFront,Cape Town,A,6,2470.0,3864.0,204
Amazon CloudFront,Cape Town,A,7,2519.0,2537.0,200
Amazon CloudFront,Cape Town,A,8,2780.0,4296.0,322
Amazon CloudFront,Cape Town,A,9,2609.0,3619.0,198
Amazon CloudFront,Cape Town,B,1,3319.0,4291.0,794
Amazon CloudFront,Cape Town,B,2,2929.0,2914.0,208
Amazon CloudFront,Cape Town,B,3,2921.0,2673.0,203
Amazon CloudFront,Cape Town,B,4,2862.0,3774.0,200
Amazon CloudFront,Cape Town,B,5,2808.0,3266.0,202
Amazon CloudFront,Cape Town,B,6,2696.0,3378.0,202
Amazon CloudFront,Cape Town,B,7,2863.0,2632.0,203
Amazon CloudFront,Cape Town,B,8,2818.0,2561.0,201
Amazon CloudFront,Cape Town,B,9,2957.0,3270.0,203
Amazon CloudFront,Cape Town,C,1,3117.0,3068.0,777
Amazon CloudFront,Cape Town,C,2,2445.0,3439.0,201
Amazon CloudFront,Cape Town,C,3,2587.0,3503.0,207
Amazon CloudFront,Cape Town,C,4,2487.0,2811.0,210
Amazon CloudFront,Cape Town,C,5,2580.0,2726.0,204
Amazon CloudFront,Cape Town,C,6,2553.0,3249.0,204
Amazon CloudFront,Cape Town,C,7,2527.0,2908.0,203
Amazon CloudFront,Cape Town,C,8,2489.0,3430.0,201
Amazon CloudFront,Cape Town,C,9,2528.0,3285.0,205
Amazon CloudFront,Cape Town,D,1,6072.0,6773.0,526
Amazon CloudFront,Cape Town,D,2,4547.0,5252.0,204
Amazon CloudFront,Cape Town,D,3,4466.0,5284.0,198
Amazon CloudFront,Cape Town,D,4,4582.0,4703.0,202
